distance,source,target
9.704926226406876,NN-4274,GJ-1286
0.0,Gl-283B,Gl-283B
0.0,Gl-283B,Gl-283A
8.737284431103292,Gl-283B,Gl-250B
8.74342713928583,Gl-283B,Gl-250A
8.874390943045046,Gl-283B,GJ-1103A
0.0,Gl-283A,Gl-283B
0.0,Gl-283A,Gl-283A
8.737284431103292,Gl-283A,Gl-250B
8.74342713928583,Gl-283A,Gl-250A
8.874390943045046,Gl-283A,GJ-1103A
9.273946997368487,Gl-54.1,GJ-1061
6.350326582153079,Gl-54.1,Gl-1
6.93016508749972,Gl-54.1,Gl-887
3.8034315887103842,Gl-54.1,Gl-65A
0.0,Gl-54.1,Gl-54.1
6.1525281259007665,Gl-54.1,GJ-1005AB
1.767765171056382,Gl-54.1,Gl-71
7.454884478648882,Gl-54.1,Gl-866AB
8.564635908782114,Gl-54.1,Gl-876
7.023496140100028,Gl-54.1,Gl-144
5.419264719498393,Gl-54.1,GJ-1002
9.540110772417687,Gl-54.1,Gl-908
5.612247682524356,Gl-54.1,Gl-35
7.790696692851031,Gl-54.1,Gl-83.1
8.574223911818493,Gl-244B,Sun
9.325025416051153,Gl-244B,Gl-551
9.511932732100243,Gl-244B,Gl-559B
9.511932732100243,Gl-244B,Gl-559A
7.374447589480855,Gl-244B,Gl-191
0.0,Gl-244B,Gl-244B
0.0,Gl-244B,Gl-244A
7.949392740329289,Gl-244B,Gl-144
5.592795405698299,Gl-244B,Gl-234A
5.235948861476781,Gl-244B,Gl-280A
5.738578287346091,Gl-244B,Gl-273
9.005055305216064,Gl-244B,Gl-406
9.935063897127185,Gl-244B,NN-3522
9.166148849435078,Gl-244B,GJ-1111
8.574223911818493,Gl-244A,Sun
9.325025416051153,Gl-244A,Gl-551
9.511932732100243,Gl-244A,Gl-559B
9.511932732100243,Gl-244A,Gl-559A
7.374447589480855,Gl-244A,Gl-191
0.0,Gl-244A,Gl-244B
0.0,Gl-244A,Gl-244A
7.949392740329289,Gl-244A,Gl-144
5.592795405698299,Gl-244A,Gl-234A
5.235948861476781,Gl-244A,Gl-280A
